Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Benin,2015,40.6,Kilogram,,,
Benin,2012,34.95,Kilogram,,,
Benin,2011,24.14,Kilogram,,,
Cameroon,2014,7,Kilogram,,,
Ghana,2015,10.7,Kilogram,,,
Ghana,2014,7.67,Kilogram,,,
Ghana,2013,10.84,Kilogram,,,
Ghana,2012,24.31,Kilogram,,,
Ghana,2011,20.43,Kilogram,,,
Mali,2012,32,Kilogram,,,
Nigeria,2015,410.82,Kilogram,,,
Nigeria,2014,119.2,Kilogram,,,
Nigeria,2013,340.8,Kilogram,,,
Belize,2014,50,Kilogram,,,
Belize,2013,4,Kilogram,,,
Belize,2012,4.9,Kilogram,,,
El Salvador,2014,0.004,Kilogram,,,
El Salvador,2012,0.05,Kilogram,,,
Guatemala,2015,421,Kilogram,,,
Guatemala,2014,"1,359.36",Kilogram,,,
Guatemala,2013,5.1,Kilogram,,,
Guatemala,2012,"2,080.70",Kilogram,,,
Guatemala,2011,"24,093",Kilogram,,,
Canada,2015,165.96,Kilogram,,,
Canada,2014,278.29,Kilogram,,,
Canada,2013,220.17,Kilogram,,,
Canada,2012,203.87,Kilogram,,,
Canada,2011,128,Kilogram,,,
Mexico,2015,"14,561.04",Kilogram,,,
Mexico,2014,"19,705.94",Kilogram,,,
Mexico,2013,"14,580.48",Kilogram,,,
United States of America,2015,"1,490.97",Kilogram,,,
United States of America,2015,"27,048.57",Kilogram,,,
United States of America,2015,"1,587.50",Kilogram,,,
United States of America,2015,38.25,Kilogram,,,
United States of America,2014,"1,134",Kilogram,,,
United States of America,2014,"21,331",Kilogram,,,
United States of America,2014,"5,067",Kilogram,,,
United States of America,2013,"1,749.29",Kilogram,,,
United States of America,2013,"21,061.10",Kilogram,,,
United States of America,2012,"29,152.25",Kilogram,,,
United States of America,2011,"23,763.27",Kilogram,,,
Argentina,2015,0.05,Kilogram,,,
Argentina,2014,19.15,Kilogram,,,
Argentina,2013,18.69,Kilogram,,,
Argentina,2012,17.02,Kilogram,,,
Argentina,2011,8.71,Kilogram,,,
Chile,2015,8.91,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,0.001,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,1.61,Kilogram,,,
Azerbaijan,2013,0.3,Kilogram,,,
Azerbaijan,2012,0.62,Kilogram,,,
Azerbaijan,2011,6.88,Kilogram,,,
Georgia,2014,0.07,Kilogram,,,
Brunei Darussalam,2014,4.27,Kilogram,,,
Brunei Darussalam,2013,1.99,Kilogram,,,
Brunei Darussalam,2012,8.98,Kilogram,,,
Brunei Darussalam,2011,0.76,Kilogram,,,
Cambodia,2015,72.86,Kilogram,,,
Cambodia,2013,32.45,Kilogram,,,
Cambodia,2012,33.5,Kilogram,,,
Cambodia,2011,19.1,Kilogram,,,
China,2015,"36,572.69",Kilogram,,,
