Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Trinidad and Tobago,2013,4.99,Kilogram,,,
Trinidad and Tobago,2012,"14,500",Kilogram,,,
Trinidad and Tobago,2011,"249,400",Kilogram,,,
Belize,2014,10,Kilogram,,,
Belize,2013,37,Kilogram,,,
Belize,2012,4.6,Kilogram,,,
Guatemala,2015,23.18,Kilogram,,,
Guatemala,2014,5.49,Kilogram,,,
Guatemala,2013,15.15,Kilogram,,,
Guatemala,2012,12.8,Kilogram,,,
Guatemala,2011,78.1,Kilogram,,,
Nicaragua,2014,0.3,Kilogram,,,
Mexico,2015,"3,490.79",Kilogram,,,
Mexico,2014,"2,705.40",Kilogram,,,
Mexico,2013,"2,627.97",Kilogram,,,
Mexico,2011,"13,457.69",Kilogram,,,
Argentina,2015,14.58,Kilogram,,,
Argentina,2014,1.5,Kilogram,,,
Argentina,2013,19.88,Kilogram,,,
Bolivia (Plurinational State of),2014,3.06,Kilogram,,,
Bolivia (Plurinational State of),2013,4.7,Kilogram,,,
Bolivia (Plurinational State of),2012,3.03,Kilogram,,,
Bolivia (Plurinational State of),2011,43.83,Kilogram,,,
Chile,2015,245.84,Kilogram,,,
Chile,2014,1.76,Kilogram,,,
Chile,2012,0.24,Kilogram,,,
Colombia,2015,26.81,Kilogram,,,
Colombia,2014,16.15,Kilogram,,,
Colombia,2011,"19,727",Kilogram,,,
Ecuador,2015,0.01,Kilogram,,,
Ecuador,2014,0.05,Kilogram,,,
Ecuador,2013,0.31,Kilogram,,,
Ecuador,2012,0.02,Kilogram,,,
Ecuador,2011,2.55,Kilogram,,,
Guyana,2012,7.2,Kilogram,,,
Guyana,2011,48,Kilogram,,,
Paraguay,2015,"7,930.13",Kilogram,,,
Paraguay,2014,"6,460",Kilogram,,,
Paraguay,2013,"3,465",Kilogram,,,
Paraguay,2012,"3,900",Kilogram,,,
Paraguay,2011,"4,870",Kilogram,,,
Peru,2012,3,Kilogram,,,
Uruguay,2011,0.21,Kilogram,,,
China,2012,3.61,Kilogram,,,
Philippines,2014,35.81,Kilogram,,,
Philippines,2013,138.68,Kilogram,,,
Philippines,2012,2.74,Kilogram,,,
Philippines,2011,2.85,Kilogram,,,
Republic of Korea,2015,2.9,Kilogram,,,
Republic of Korea,2014,4.4,Kilogram,,,
Afghanistan,2014,"25,115",Kilogram,,,
Lebanon,2015,"1,088.50",Kilogram,,,
Lebanon,2012,551.72,Kilogram,,,
Pakistan,2011,40,Kilogram,,,
Syrian Arab Republic,2012,419,Kilogram,,,
Republic of Moldova,2014,0.2,Kilogram,,,
Republic of Moldova,2012,9,Kilogram,,,
Albania,2015,3.69,Kilogram,,,
Albania,2012,0.34,Kilogram,,,
Albania,2011,2.35,Kilogram,,,
Bulgaria,2012,0.1,Kilogram,,,
Bulgaria,2011,0.45,Kilogram,,,
The former Yugoslav Republic of Macedonia,2015,0.46,Kilogram,,,
The former Yugoslav Republic of Macedonia,2014,0.14,Kilogram,,,
Estonia,2014,0.13,Kilogram,,,
Estonia,2013,0.11,Kilogram,,,
Estonia,2012,0.65,Kilogram,,,
Estonia,2011,0.11,Kilogram,,,
France,2013,25,Kilogram,,,
France,2012,12.84,Kilogram,,,
France,2011,63.96,Kilogram,,,
Greece,2015,2.68,Kilogram,,,
Greece,2014,2.03,Kilogram,,,
Greece,2013,2.09,Kilogram,,,
Greece,2012,3.15,Kilogram,,,
Hungary,2015,0.62,Kilogram,,,
Hungary,2014,0.25,Kilogram,,,
Hungary,2013,0.31,Kilogram,,,
Hungary,2012,0.55,Kilogram,,,
Hungary,2011,1.27,Kilogram,,,
Italy,2011,7.54,Kilogram,,,
Portugal,2014,2.15,Kilogram,,,
Portugal,2013,1.88,Kilogram,,,
Portugal,2012,1.61,Kilogram,,,
Portugal,2011,2.61,Kilogram,,,
Spain,2014,7,Kilogram,,,
Spain,2013,0.09,Kilogram,,,
Spain,2012,0.22,Kilogram,,,
Spain,2011,2.29,Kilogram,,,
Switzerland,2015,605,Kilogram,,,
Australia,2015,56.06,Kilogram,,,
Australia,2014,43.75,Kilogram,,,
Australia,2013,263.66,Kilogram,,,
Australia,2012,16.47,Kilogram,,,
Australia,2011,45.68,Kilogram,,,
