Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
China,2013,0.01,Kilogram,,,
China,2011,38.45,Kilogram,,,
Republic of Korea,2014,0.02,Kilogram,,,
Thailand,2014,758,Kilogram,,,
Thailand,2013,"1,361",Kilogram,,,
Afghanistan,2013,10.89,Kilogram,,,
Afghanistan,2012,0.03,Kilogram,,,
Bahrain,2014,0.69,Kilogram,,,
Bahrain,2013,25.44,Kilogram,,,
Kuwait,2014,"1,015.89",Kilogram,,,
Kuwait,2013,8.17,Kilogram,,,
Pakistan,2015,"2,878.62",Kilogram,,,
Pakistan,2014,16.58,Kilogram,,,
Pakistan,2013,2.1,Kilogram,,,
Qatar,2014,7.57,Kilogram,,,
Qatar,2013,0.06,Kilogram,,,
Syrian Arab Republic,2014,25,Kilogram,,,
United Arab Emirates,2014,0.06,Kilogram,,,
United Arab Emirates,2013,0.001,Kilogram,,,
Yemen,2014,203.37,Kilogram,,,
Yemen,2013,138.22,Kilogram,,,
India,2015,135.02,Kilogram,,,
India,2014,166,Kilogram,,,
India,2013,85,Kilogram,,,
India,2012,39.5,Kilogram,,,
India,2011,4.33,Kilogram,,,
Belarus,2013,1.63,Kilogram,,,
Belarus,2012,2.8,Kilogram,,,
Belarus,2011,14,Kilogram,,,
Republic of Moldova,2015,4.35,Kilogram,,,
Republic of Moldova,2014,1.79,Kilogram,,,
Russian Federation,2015,330.76,Kilogram,,,
Russian Federation,2014,715.7,Kilogram,,,
Russian Federation,2013,546.5,Kilogram,,,
Russian Federation,2012,"1,244.10",Kilogram,,,
Russian Federation,2011,"2,043.70",Kilogram,,,
Ukraine,2015,32.43,Kilogram,,,
Ukraine,2014,17.94,Kilogram,,,
Ukraine,2013,24.5,Kilogram,,,
Ukraine,2012,1.7,Kilogram,,,
Ukraine,2011,28.19,Kilogram,,,
Bosnia and Herzegovina,2013,11.83,Kilogram,,,
Bosnia and Herzegovina,2011,0.02,Kilogram,,,
Bulgaria,2015,43.06,Kilogram,,,
Bulgaria,2014,182.67,Kilogram,,,
Bulgaria,2013,35.8,Kilogram,,,
Bulgaria,2013,32.94,Kilogram,,,
Bulgaria,2012,21.16,Kilogram,,,
Bulgaria,2011,229.45,Kilogram,,,
Croatia,2015,31,Kilogram,,,
Croatia,2014,25.49,Kilogram,,,
Croatia,2013,12.6,Kilogram,,,
Croatia,2012,3.35,Kilogram,,,
Croatia,2011,23.04,Kilogram,,,
Romania,2014,3.8,Kilogram,,,
Romania,2013,0.25,Kilogram,,,
Romania,2012,0.29,Kilogram,,,
Romania,2011,0.4,Kilogram,,,
Serbia,2015,25.52,Kilogram,,,
Serbia,2014,22.6,Kilogram,,,
Serbia,2013,22,Kilogram,,,
The former Yugoslav Republic of Macedonia,2015,0.47,Kilogram,,,
The former Yugoslav Republic of Macedonia,2014,1.01,Kilogram,,,
The former Yugoslav Republic of Macedonia,2013,0.93,Kilogram,,,
The former Yugoslav Republic of Macedonia,2012,0.5,Kilogram,,,
Turkey,2015,21.61,Kilogram,,,
Turkey,2014,14.19,Kilogram,,,
Turkey,2013,4.43,Kilogram,,,
Turkey,2012,116.78,Kilogram,,,
Turkey,2012,0.43,Kilogram,,,
Turkey,2011,14.16,Kilogram,,,
Austria,2015,66.66,Kilogram,,,
Austria,2014,15.86,Kilogram,,,
Austria,2013,21.41,Kilogram,,,
Austria,2012,32.14,Kilogram,,,
Austria,2011,13,Kilogram,,,
Belgium,2015,68.67,Kilogram,,,
Belgium,2014,198.83,Kilogram,,,
Belgium,2013,177.98,Kilogram,,,
Belgium,2012,54.22,Kilogram,,,
Belgium,2011,111.53,Kilogram,,,
Cyprus,2013,0.1,Kilogram,,,
Cyprus,2012,0.05,Kilogram,,,
Cyprus,2011,0.01,Kilogram,,,
Czechia,2015,19.5,Kilogram,,,
Czechia,2013,0.37,Kilogram,,,
Czechia,2012,504.6,Kilogram,,,
Czechia,2011,1.24,Kilogram,,,
Denmark,2015,190,Kilogram,,,
Denmark,2014,292,Kilogram,,,
