Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Belgium,2013,"4,274.64",Kilogram,,,
Belgium,2012,"1,338.28",Kilogram,,,
Belgium,2011,"5,019.96",Kilogram,,,
Cyprus,2015,3.26,Kilogram,,,
Cyprus,2013,0.96,Kilogram,,,
Cyprus,2012,0.14,Kilogram,,,
Cyprus,2011,965,Kilogram,,,
Czechia,2015,7.56,Kilogram,,,
Czechia,2014,14.85,Kilogram,,,
Czechia,2013,1.32,Kilogram,,,
Czechia,2012,20.53,Kilogram,,,
Czechia,2011,2.37,Kilogram,,,
Denmark,2015,"3,618.80",Kilogram,,,
Denmark,2014,"2,211",Kilogram,,,
Denmark,2013,"3,292",Kilogram,,,
Denmark,2012,"1,275.20",Kilogram,,,
Denmark,2011,"2,325",Kilogram,,,
Estonia,2015,811.92,Kilogram,,,
Estonia,2014,273.06,Kilogram,,,
Estonia,2013,109.2,Kilogram,,,
Estonia,2012,4.7,Kilogram,,,
Estonia,2011,45.55,Kilogram,,,
Finland,2015,63,Kilogram,,,
Finland,2014,52,Kilogram,,,
Finland,2011,860,Kilogram,,,
France,2015,"60,790",Kilogram,,,
France,2013,"70,918",Kilogram,,,
France,2012,"51,118",Kilogram,,,
France,2011,"55,641.68",Kilogram,,,
Germany,2015,"1,598.87",Kilogram,,,
Germany,2014,"1,747.64",Kilogram,,,
Germany,2013,"1,769.67",Kilogram,,,
Germany,2012,"2,385.66",Kilogram,,,
Germany,2011,"1,747.50",Kilogram,,,
Greece,2015,329.9,Kilogram,,,
Greece,2014,35.76,Kilogram,,,
Greece,2013,8.11,Kilogram,,,
Greece,2012,44.4,Kilogram,,,
Greece,2011,121.97,Kilogram,,,
Hungary,2015,18.15,Kilogram,,,
Hungary,2014,7.91,Kilogram,,,
Hungary,2013,4.96,Kilogram,,,
Hungary,2012,2.16,Kilogram,,,
Hungary,2011,18.22,Kilogram,,,
Ireland,2015,271.12,Kilogram,,,
