Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Argentina,2012,1.89,Kilogram,,,
Bolivia (Plurinational State of),2013,5.03,Kilogram,,,
Bolivia (Plurinational State of),2012,9.59,Kilogram,,,
Bolivia (Plurinational State of),2011,1.36,Kilogram,,,
Colombia,2015,393.29,Kilogram,,,
Colombia,2014,348.77,Kilogram,,,
Colombia,2013,402.63,Kilogram,,,
Colombia,2012,464.4,Kilogram,,,
Colombia,2011,522.67,Kilogram,,,
Ecuador,2015,96.76,Kilogram,,,
Ecuador,2014,210.75,Kilogram,,,
Ecuador,2013,123.2,Kilogram,,,
Ecuador,2012,188.6,Kilogram,,,
Ecuador,2011,155.43,Kilogram,,,
Guyana,2011,39.5,Kilogram,,,
Peru,2012,1.66,Kilogram,,,
Suriname,2013,0.1,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,20.53,Kilogram,,,
Venezuela (Bolivarian Republic of),2014,108,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,4.41,Kilogram,,,
Venezuela (Bolivarian Republic of),2012,30.16,Kilogram,,,
Venezuela (Bolivarian Republic of),2011,81.64,Kilogram,,,
Azerbaijan,2015,80.31,Kilogram,,,
Azerbaijan,2014,296.13,Kilogram,,,
Azerbaijan,2013,100.78,Kilogram,,,
Azerbaijan,2012,109.76,Kilogram,,,
Azerbaijan,2011,120.52,Kilogram,,,
Georgia,2014,591.9,Kilogram,,,
Georgia,2013,117.62,Kilogram,,,
Kazakhstan,2011,306.7,Kilogram,,,
Kyrgyzstan,2015,344.45,Kilogram,,,
Kyrgyzstan,2014,285.56,Kilogram,,,
Kyrgyzstan,2013,247.06,Kilogram,,,
Kyrgyzstan,2012,241.95,Kilogram,,,
Kyrgyzstan,2011,332.32,Kilogram,,,
Tajikistan,2015,498.9,Kilogram,,,
Tajikistan,2014,507.55,Kilogram,,,
Tajikistan,2013,483,Kilogram,,,
Tajikistan,2012,515.2,Kilogram,,,
Tajikistan,2011,509.4,Kilogram,,,
Turkmenistan,2015,0.71,Kilogram,,,
Turkmenistan,2014,1.8,Kilogram,,,
Turkmenistan,2013,12.63,Kilogram,,,
Turkmenistan,2012,14.88,Kilogram,,,
Turkmenistan,2011,39.19,Kilogram,,,
Uzbekistan,2015,147.9,Kilogram,,,
Uzbekistan,2014,106.5,Kilogram,,,
Uzbekistan,2013,121.6,Kilogram,,,
Uzbekistan,2012,261.5,Kilogram,,,
