Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Guatemala,2012,6.3,Kilogram,,,
Guatemala,2011,8.3,Kilogram,,,
Honduras,2011,"2,939",Kilogram,,,
Nicaragua,2014,3.9,Kilogram,,,
Nicaragua,2012,4,Kilogram,,,
Panama,2014,1.7,Kilogram,,,
Panama,2013,162.29,Kilogram,,,
Panama,2012,"1,877.40",Kilogram,,,
Panama,2011,295.47,Kilogram,,,
Canada,2012,6.47,Kilogram,,,
Canada,2011,4.63,Kilogram,,,
Mexico,2014,2.22,Kilogram,,,
Mexico,2011,0.69,Kilogram,,,
United States of America,2015,394.59,Kilogram,,,
United States of America,2014,279,Kilogram,,,
United States of America,2013,365.64,Kilogram,,,
Argentina,2015,0.02,Kilogram,,,
Chile,2014,0.47,Kilogram,,,
Chile,2012,0.03,Kilogram,,,
Guyana,2015,1.2,Kilogram,,,
Guyana,2012,2.3,Kilogram,,,
Guyana,2011,1.9,Kilogram,,,
Paraguay,2015,6.22,Kilogram,,,
Paraguay,2014,52.99,Kilogram,,,
Paraguay,2013,5.4,Kilogram,,,
Paraguay,2012,3.1,Kilogram,,,
Paraguay,2011,3.1,Kilogram,,,
Venezuela (Bolivarian Republic of),2015,30.28,Kilogram,,,
Venezuela (Bolivarian Republic of),2014,37.89,Kilogram,,,
Venezuela (Bolivarian Republic of),2013,41.77,Kilogram,,,
Venezuela (Bolivarian Republic of),2012,100.11,Kilogram,,,
Venezuela (Bolivarian Republic of),2011,119.23,Kilogram,,,
China,2014,13.13,Kilogram,,,
China,2013,13.92,Kilogram,,,
China,2012,9.29,Kilogram,,,
China,2011,8.25,Kilogram,,,
Malaysia,2014,33.4,Kilogram,,,
Republic of Korea,2015,0.01,Kilogram,,,
Republic of Korea,2014,0.01,Kilogram,,,
Saudi Arabia,2013,1.44,Kilogram,,,
Austria,2011,0.002,Kilogram,,,
France,2015,14,Kilogram,,,
France,2014,18.85,Kilogram,,,
France,2013,6,Kilogram,,,
France,2012,13.96,Kilogram,,,
France,2011,13.25,Kilogram,,,
Germany,2015,0.36,Kilogram,,,
Germany,2014,0.47,Kilogram,,,
Germany,2013,0.35,Kilogram,,,
Germany,2012,0.5,Kilogram,,,
Germany,2011,2.79,Kilogram,,,
Ireland,2014,5,Kilogram,,,
Ireland,2013,0.01,Kilogram,,,
Italy,2015,1.14,Kilogram,,,
Italy,2014,1.74,Kilogram,,,
Italy,2013,5.61,Kilogram,,,
Italy,2012,4.51,Kilogram,,,
Italy,2011,4.39,Kilogram,,,
Portugal,2013,4,Kilogram,,,
Portugal,2012,0.02,Kilogram,,,
Portugal,2011,0.12,Kilogram,,,
Spain,2015,7.38,Kilogram,,,
Spain,2014,0.41,Kilogram,,,
Spain,2013,0.43,Kilogram,,,
Spain,2012,0.5,Kilogram,,,
Spain,2011,0.6,Kilogram,,,
Switzerland,2015,0.01,Kilogram,,,
Switzerland,2014,0.06,Kilogram,,,
Switzerland,2013,0.01,Kilogram,,,
Switzerland,2012,0.02,Kilogram,,,
Switzerland,2011,0.02,Kilogram,,,
United Kingdom,2015,42,Kilogram,,,
United Kingdom,2014,32.53,Kilogram,,,
United Kingdom,2013,50.3,Kilogram,,,
United Kingdom,2012,47,Kilogram,,,
United Kingdom,2011,40,Kilogram,,,
Australia,2015,0.13,Kilogram,,,
Australia,2014,0.53,Kilogram,,,
Australia,2013,0.2,Kilogram,,,
